Service,Protection and recovery pattern,Typical tier,Critical caveat
BigQuery,Time travel/fail-safe for logical errors; snapshots/clones for controlled points; cross-region dataset replication or Managed DR for regional outage,Tier 0/1,Validate replication lag and compute readiness; failover is a controlled business action
Cloud Storage,"Soft delete, Object Versioning where required, retention policies, dual-region/multi-region, turbo replication for selected Tier 0/1 objects",Tier 0-3,Protection controls do not replace independent cyber-recovery copies for all threats
Pub/Sub,"Subscription/topic retention, snapshots and seek; recreate regional subscriptions/topics from IaC",Tier 0/1,Replay can create duplicates; consumers must be idempotent and sequence-aware
Dataflow,"Recreate jobs from immutable template/artifact; use source checkpoints, Pub/Sub replay, drain/cancel controls and snapshots where supported",Tier 0/1,"Dataflow jobs are regional; recovery is pipeline-specific, not an automatic cross-region failover"
Datastream,Resume after regional recovery; stream recovery for source failover/log gaps; recreate in paired region if required,Tier 0/1,Regional outage pauses streams; destination may contain duplicates after recovery
Managed Airflow / Cloud Composer,Scheduled environment snapshots in protected cross-region bucket; restore or rebuild paired environment,Tier 1,Snapshot contains Airflow database and fernet key; protect snapshot and externalize secrets
Looker (Google Cloud core),Automatic/manual backup for same-instance restore; import/export plus Git-managed LookML for cross-instance recovery,Tier 1/2,Same-instance backup alone is not cross-region recovery; test instance recreation and content migration
Vertex AI / Gemini,"Reproducible training artifacts, model versions, prompt/config source, regional endpoint deployment manifests and application routing",Tier 1/2,"Capabilities and locations vary; validate supported regions, quotas and data residency"
Knowledge Catalog / Dataplex metadata,"Authoritative metadata definitions, glossary and policies in versioned repositories or supported exports; rebuild integration/configuration",Tier 1,Do not assume every managed metadata object has native cross-region backup
Cloud DNS,Health-checked failover/geolocation policies where supported; manual override path,Tier 0/1,DNS is not data replication; TTL and client caching affect observed RTO
Terraform state in Cloud Storage,"Versioning/soft delete, retention, restricted IAM, alternate recovery bucket or export and tested restore",Tier 0/1 platform,"State restore requires serial integrity, lock control and reconciliation with real resources"
